seed_label,direction,f_ras,C,A,T,R,L,M
default,up,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,up,0.02040816326530612,0.0026730447705696427,0.009433754003937563,0.005425866877869515,2.9921043798263478e-05,0.014150631065473117,1.7447853152199106e-20
default,up,0.04081632653061224,0.005333163547677248,0.01867789260586692,0.010746455689936768,0.00016513896615917025,0.028016838968240605,7.525724291657651e-17
default,up,0.061224489795918366,0.007982719696428357,0.027740432229199342,0.015966385634711793,0.000444079303963565,0.041610648396875484,9.581539573885127e-15
default,up,0.08163265306122448,0.010624600264794424,0.03662951365926907,0.02109039269106885,0.0008897500869231763,0.054944270495996636,2.885851992837499e-13
default,up,0.1020408163265306,0.013261966607820119,0.04535313557431156,0.026123160248040827,0.001517309766364374,0.06802970336261616,3.947411245522657e-12
default,up,0.12244897959183673,0.01589811095745284,0.053919017463932656,0.0310692305728157,0.002336800610072293,0.08087852619737718,3.278684052226885e-11
default,up,0.14285714285714285,0.0185363652495005,0.06233452630718595,0.03593295611667074,0.0033545840957100634,0.09350178946370905,1.930690209169005e-10
default,up,0.16326530612244897,0.021180041142989218,0.07060664018051273,0.04071847398232965,0.004574221793911554,0.10590996027695167,8.840901271488966e-10
default,up,0.18367346938775508,0.023832390565003317,0.07874193487730782,0.045429694924215246,0.005997067859077203,0.1181129023630393,3.3414467396217446e-09
default,up,0.2040816326530612,0.02649658103114176,0.08674658577869035,0.050070302088482926,0.007622693242899575,0.1301198787197955,1.0856496211458591e-08
default,up,0.22448979591836732,0.029175682922053577,0.09462638075178474,0.05464375691464942,0.009449204451871928,0.1419395711266663,3.121424729389305e-08
default,up,0.24489795918367346,0.03187266795583422,0.10238674213255876,0.05915331105985754,0.011473493254075456,0.15358011315425762,8.113615291179913e-08
default,up,0.26530612244897955,0.03459041971225997,0.11003275742999688,0.06360202422871099,0.013691440495529228,0.16504913614384564,1.9378747212283987e-07
default,up,0.2857142857142857,0.03733175840575392,0.11756921950126614,0.06799278851864408,0.0160980900765162,0.17635382926254606,4.306898150351378e-07
default,up,0.3061224489795918,0.040099483244057696,0.1250006777341804,0.07232836044067614,0.01868780532763789,0.18750101661503618,8.996502602242959e-07
default,up,0.32653061224489793,0.04289643665307008,0.13233150226302812,0.07661140211677098,0.02145441729335811,0.19849725341375882,1.7805563958955578e-06
default,up,0.3469387755102041,0.04572559542757837,0.13956596352194361,0.08084453339183102,0.02439137341758903,0.20934894529451847,3.3610897417271666e-06
default,up,0.36734693877551017,0.048590194533133006,0.14670832956451216,0.08503039672255797,0.027491894046515312,0.22006249434836883,6.084589580336202e-06
default,up,0.3877551020408163,0.05149388993967151,0.1537629836489984,0.08917173680860277,0.030749143473293807,0.23064447551637232,1.0612495110618949e-05
default,up,0.4081632653061224,0.05444096769140043,0.16073456472912853,0.09327149707250315,0.0341564217266679,0.24110184716771962,1.790408324872829e-05
default,up,0.42857142857142855,0.05743660790313755,0.1676281340959098,0.09733293558941922,0.03770738343737775,0.2514422011724238,2.9316769800138285e-05
default,up,0.44897959183673464,0.06048721484641707,0.17444937255501197,0.10135976391123909,0.04139629032314517,0.2616740588509873,4.6731223851882055e-05
default,up,0.4693877551020408,0.06360082854759407,0.18120481465758959,0.10535631375315155,0.04521830494295686,0.27180722200590823,7.270727983810136e-05
default,up,0.4897959183673469,0.06678764115887602,0.1879021308573965,0.10932773971933664,0.0491698374993001,0.2818531963018156,0.00011067972210852402
default,up,0.5102040816326531,0.07006065372898194,0.1945504749387501,0.11328027085323303,0.05324896260635479,0.2918257124066534,0.00016520803975502847
default,up,0.5306122448979591,0.07343653055680399,0.20116092573373812,0.11722153231212022,0.05745593483763368,0.3017413894937525,0.00024230280326438452
default,up,0.5510204081632653,0.07693674039518815,0.2077470678269477,0.12116096957153459,0.06179384379291008,0.31162060203277075,0.0003498648028692643
default,up,0.5714285714285714,0.08058914430249228,0.21432579637265448,0.1251104377754043,0.06626950176870397,0.321488694611601,0.0004982995411305328
default,up,0.5918367346938775,0.08443027911683415,0.22091847023185726,0.12908504589242026,0.07089467597478494,0.33137770545052236,0.0007014092083848434
default,up,0.6122448979591836,0.08850880669364969,0.2275526590479442,0.13310443528658364,0.0756879241275004,0.34132898841307135,0.0009777498776422186
default,up,0.6326530612244897,0.09289098907064354,0.23426492603756602,0.137194814663872,0.08067747866629783,0.3513973892066725,0.0013528022381146282
default,up,0.6530612244897959,0.09766990540131525,0.2411055276404798,0.1413923933128143,0.08590607202565335,0.3616582915592225,0.0018626533389990312
default,up,0.673469387755102,0.10298217040067553,0.2481469673579435,0.14574962583415293,0.09143968024690907,0.3722204533651942,0.0025607200826327867
default,up,0.6938775510204082,0.10904126772482665,0.2555010879675683,0.1503476811936961,0.0973849302258201,0.3832516351285692,0.0035312499382880356
default,up,0.7142857142857142,0.11621367244791814,0.26335819243398056,0.15532496970962534,0.10392888220043599,0.39503728977209257,0.0049203588430472645
default,up,0.7346938775510203,0.1252324205363517,0.27209695620249336,0.16095724872897396,0.11145056158863274,0.40814534758936527,0.0070237628538950166
default,up,0.7551020408163265,0.1380841590389526,0.2827420202828057,0.16799104101600532,0.12098501135684435,0.4241130303084792,0.01065378824546349
default,up,0.7755102040816326,0.17870440526886128,0.3075347910973432,0.1853198951252057,0.14475135764081404,0.4610657226880418,0.025994023841287597
default,up,0.7959183673469387,0.6505184330370516,0.48837362851497146,0.3283381555595476,0.31514072119159636,0.7325604426426552,0.5431384933580078
default,up,0.8163265306122448,0.6527027783953939,0.49071918260435143,0.329828009911553,0.31645749217369473,0.7360787739295088,0.5475351883138009
default,up,0.836734693877551,0.6547878714341159,0.4930160973462837,0.33128197056894393,0.317733029060663,0.7395241460543568,0.5517358063233527
default,up,0.8571428571428571,0.6567819909428464,0.4952676478165731,0.33270260224685533,0.3189702904292404,0.7429014717602686,0.555754798773607
default,up,0.8775510204081632,0.658692420799436,0.4974767289273472,0.334092168796867,0.32017189117727013,0.7462150934031196,0.5596050149241356
default,up,0.8979591836734693,0.6605256060461134,0.49964591457734764,0.3354526801583446,0.32134015608714217,0.7494688719048606,0.5632979430985626
default,up,0.9183673469387754,0.6622872785823807,0.5017775053602714,0.336785930167154,0.32247716288986245,0.7526662580728429,0.5668439054438837
default,up,0.9387755102040816,0.6639825603152426,0.503873567719145,0.33809352763011313,0.32358477773342964,0.7558103515977983,0.5702522191123244
default,up,0.9591836734693877,0.6656160475842035,0.5059359660525515,0.3393769217480643,0.3246646841307255,0.7589039489790916,0.573531328401285
default,up,0.9795918367346939,0.6671918819850217,0.507966389622179,0.34063742349654186,0.3257184074188341,0.7619495844533726,0.5766889169575975
default,up,1.0,0.6687138079858914,0.5099663745692358,0.34187622294534736,0.32674733433245723,0.7649495618260139,0.5797319979659302
default,down,1.0,0.668713807865364,0.5099663745318578,0.34187622290207353,0.3267473342616062,0.7649495616400135,0.5797319976497768
default,down,0.9795918367346939,0.6671918819997668,0.5079663896267653,0.3406374235017886,0.32571840742712527,0.7619495844764147,0.57668891699605
default,down,0.9591836734693877,0.6656160476385168,0.5059359660695436,0.33937692176735995,0.32466468416100364,0.7589039490613647,0.5735313285417593
default,down,0.9387755102040817,0.6639825602550047,0.5038735677001924,0.3380935276087724,0.32358477770013166,0.7558103515094873,0.5702522189578492
default,down,0.9183673469387755,0.6622872785115006,0.5017775053378448,0.336785930142098,0.3224771628510413,0.7526662579721491,0.5668439052636892
default,down,0.8979591836734694,0.6605256060060779,0.4996459145646076,0.33545268014421953,0.32134015606542243,0.7494688718497534,0.5632979429976928
default,down,0.8775510204081632,0.6586924207702198,0.49747672891799644,0.33409216878660236,0.32017189116160605,0.7462150933641418,0.5596050148511946
default,down,0.8571428571428572,0.65678199089723,0.49526764780190025,0.3327026022308832,0.31897029040502445,0.7429014717013108,0.5557547986607811
default,down,0.8367346938775511,0.6547878713951535,0.4930160973336835,0.3312819705553426,0.3177330290402019,0.739524146005582,0.5517358062279285
default,down,0.8163265306122449,0.6527027782083691,0.4907191825435031,0.3298280098464158,0.3164574920767088,0.7360787737027092,0.5475351878605043
default,down,0.7959183673469388,0.6505184332585306,0.48837362858742644,0.32833815563643187,0.3151407213050196,0.7325604429027929,0.5431384938890853
default,down,0.7755102040816326,0.648225367786706,0.4859757063702518,0.32680948370292606,0.31377934756188797,0.7289635593887741,0.5385293708622031
default,down,0.7551020408163265,0.6458126795595461,0.4835211405061927,0.3252386372923251,0.31236950813095143,0.7252817107442957,0.5336891933172165
default,down,0.7346938775510204,0.6432677144919936,0.48100498912727235,0.32362173138715783,0.31090673718941114,0.7215074836945761,0.5285965766186391
default,down,0.7142857142857143,0.6405756604804472,0.47842149033516346,0.3219542309793732,0.30938582730526387,0.7176322354570437,0.5232267646221523
default,down,0.6938775510204083,0.6377190076243161,0.475763858527222,0.32023078921192905,0.30780064479568175,0.7136457877428021,0.5175508162980702
default,down,0.6734693877551021,0.6346768239281773,0.47302401130711,0.3184450303587218,0.3061438822270513,0.7095360169863408,0.511534520149735
default,down,0.653061224489796,0.6314237622223159,0.4701921953880376,0.3165892524563168,0.30440671926090374,0.7052882930605537,0.5051369128295895
default,down,0.6326530612244898,0.6279286668673216,0.46725646216441497,0.314654010392806,0.30257834720193294,0.7008846929082205,0.4983082112076676
default,down,0.6122448979591837,0.6241525644695797,0.46420191205031924,0.3126275151047444,0.3006452838731002,0.6963028680082933,0.49098684510514184
default,down,0.5918367346938775,0.6200456558199053,0.46100956456695746,0.31049473430493996,0.29859034722886574,0.6915143467851715,0.4830950280659868
default,down,0.5714285714285714,0.615542666664086,0.45765461290750215,0.3082360040651888,0.29639107181360447,0.6864819193318056,0.4745319551661227
default,down,0.5510204081632654,0.610555260219659,0.4541035784789023,0.30582476374935175,0.29401712381587364,0.6811553675491783,0.4651627409053809
default,down,0.5306122448979592,0.6049589184706599,0.45030939512758694,0.3032236424866511,0.2914258349452066,0.6754640925771006,0.45479938671719783
default,down,0.5102040816326531,0.5985683645831109,0.44620220793990245,0.30037713143922457,0.28855383805152596,0.6693033120386306,0.44316527949192497
default,down,0.4897959183673469,0.5910863222352494,0.44167020602238816,0.29719631623664666,0.2852996364058903,0.6625053104285342,0.429821517068752
default,down,0.4693877551020409,0.5819786009137466,0.43651294402245167,0.2935216789323012,0.2814811309006352,0.6547694166754244,0.4139881490282468
default,down,0.44897959183673475,0.5700809035752715,0.4302945259579287,0.28900608927204924,0.27670197419612097,0.6454417931572988,0.3939842053296207
default,down,0.4285714285714286,0.5514627904224458,0.42154685038665307,0.2824796088005538,0.2696259292308978,0.6323205507567206,0.36420330406367374
default,down,0.40816326530612246,0.05444098184087743,0.16073458186802037,0.09327151361752276,0.034156447875131,0.24110190354714095,1.7906749824353247e-05
default,down,0.3877551020408164,0.05149388992901498,0.1537629836370611,0.08917173679795527,0.03074914342852407,0.23064447540529504,1.061249293284321e-05
default,down,0.3673469387755103,0.0485901945303365,0.14670832956129576,0.08503039671968811,0.02749189403194161,0.22006249430994435,6.084589006574132e-06
default,down,0.34693877551020413,0.04572559542609964,0.13956596352018366,0.08084453339027532,0.02439137340870848,0.20934894526917833,3.3610894347738026e-06
default,down,0.326530612244898,0.04289643665208604,0.13233150226182736,0.07661140211573578,0.02145441728404827,0.19849725338530522,1.7805561836689912e-06
default,down,0.30612244897959184,0.040099483243431,0.1250006777334083,0.07232836044003935,0.018687805318968322,0.18750101658704332,8.996501318001607e-07
default,down,0.2857142857142858,0.03733175840550668,0.11756921950094372,0.06799278851839267,0.016098090070178102,0.17635382924074328,4.306897573795147e-07
default,down,0.26530612244897966,0.03459041971259297,0.11003275743042687,0.06360202422905273,0.013691440495632996,0.16504913614743255,1.9378753602388508e-07
default,down,0.24489795918367352,0.031872667956097514,0.10238674213298168,0.05915331106041014,0.011473493263971079,0.15358011319977163,8.113621844806287e-08
default,down,0.22448979591836737,0.029175682922175993,0.09462638075210919,0.054643756915318024,0.009449204468514683,0.14193957120196193,3.121429091790183e-08
default,down,0.20408163265306134,0.026496581031198615,0.08674658577885505,0.050070302088840564,0.007622693232422721,0.13011987867318467,1.0856503734995791e-08
default,down,0.1836734693877552,0.02383239056501055,0.07874193487739316,0.04542969492444337,0.0059970678420056545,0.11811290227453412,3.341447806418768e-09
default,down,0.16326530612244905,0.021180041142991875,0.07060664018057293,0.04071847398250497,0.00457422178144604,0.10590996020388976,8.840901248584702e-10
default,down,0.1428571428571429,0.01853636524949718,0.0623345263071869,0.03593295611667756,0.003354584093993193,0.09350178945149104,1.9306901100976574e-10
default,down,0.12244897959183676,0.01589811095745393,0.05391901746393254,0.031069230572812422,0.002336800609844597,0.08087852619528407,3.2786841004818284e-11
default,down,0.10204081632653073,0.013261966607821408,0.04535313557431784,0.026123160248046954,0.001517309765897906,0.06802970335744936,3.947411107264573e-12
default,down,0.08163265306122458,0.01062460026479684,0.036629513659294885,0.021090392691121868,0.0008897500859302398,0.05494427048051152,2.8858518081433515e-13
default,down,0.061224489795918435,0.007982719696429587,0.02774043222927836,0.015966385634905617,0.0004440793017507468,0.04161064833847967,9.58153230139813e-15
default,down,0.04081632653061229,0.005333163547670669,0.018677892606074185,0.01074645569047604,0.0001651389633121309,0.028016838847612514,7.52565014508672e-17
default,down,0.020408163265306145,0.0026730447705576327,0.009433754004147414,0.005425866878428831,2.9921042730014765e-05,0.014150630944526014,1.7444198863520725e-20
default,down,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slightly_more_benign,up,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slightly_more_benign,up,0.02040816326530612,0.0026730447705696427,0.009433754003937563,0.005425866877869515,2.9921043798263478e-05,0.014150631065473117,1.7447853152199106e-20
slightly_more_benign,up,0.04081632653061224,0.005333163547677248,0.01867789260586692,0.010746455689936768,0.00016513896615917025,0.028016838968240605,7.525724291657651e-17
slightly_more_benign,up,0.061224489795918366,0.007982719696428357,0.027740432229199342,0.015966385634711793,0.000444079303963565,0.041610648396875484,9.581539573885127e-15
slightly_more_benign,up,0.08163265306122448,0.010624600264794424,0.03662951365926907,0.02109039269106885,0.0008897500869231763,0.054944270495996636,2.885851992837499e-13
slightly_more_benign,up,0.1020408163265306,0.013261966607820119,0.04535313557431156,0.026123160248040827,0.001517309766364374,0.06802970336261616,3.947411245522657e-12
slightly_more_benign,up,0.12244897959183673,0.01589811095745284,0.053919017463932656,0.0310692305728157,0.002336800610072293,0.08087852619737718,3.278684052226885e-11
slightly_more_benign,up,0.14285714285714285,0.0185363652495005,0.06233452630718595,0.03593295611667074,0.0033545840957100634,0.09350178946370905,1.930690209169005e-10
slightly_more_benign,up,0.16326530612244897,0.021180041142989218,0.07060664018051273,0.04071847398232965,0.004574221793911554,0.10590996027695167,8.840901271488966e-10
slightly_more_benign,up,0.18367346938775508,0.023832390565003317,0.07874193487730782,0.045429694924215246,0.005997067859077203,0.1181129023630393,3.3414467396217446e-09
slightly_more_benign,up,0.2040816326530612,0.02649658103114176,0.08674658577869035,0.050070302088482926,0.007622693242899575,0.1301198787197955,1.0856496211458591e-08
slightly_more_benign,up,0.22448979591836732,0.029175682922053577,0.09462638075178474,0.05464375691464942,0.009449204451871928,0.1419395711266663,3.121424729389305e-08
slightly_more_benign,up,0.24489795918367346,0.03187266795583422,0.10238674213255876,0.05915331105985754,0.011473493254075456,0.15358011315425762,8.113615291179913e-08
slightly_more_benign,up,0.26530612244897955,0.03459041971225997,0.11003275742999688,0.06360202422871099,0.013691440495529228,0.16504913614384564,1.9378747212283987e-07
slightly_more_benign,up,0.2857142857142857,0.03733175840575392,0.11756921950126614,0.06799278851864408,0.0160980900765162,0.17635382926254606,4.306898150351378e-07
slightly_more_benign,up,0.3061224489795918,0.040099483244057696,0.1250006777341804,0.07232836044067614,0.01868780532763789,0.18750101661503618,8.996502602242959e-07
slightly_more_benign,up,0.32653061224489793,0.04289643665307008,0.13233150226302812,0.07661140211677098,0.02145441729335811,0.19849725341375882,1.7805563958955578e-06
slightly_more_benign,up,0.3469387755102041,0.04572559542757837,0.13956596352194361,0.08084453339183102,0.02439137341758903,0.20934894529451847,3.3610897417271666e-06
slightly_more_benign,up,0.36734693877551017,0.048590194533133006,0.14670832956451216,0.08503039672255797,0.027491894046515312,0.22006249434836883,6.084589580336202e-06
slightly_more_benign,up,0.3877551020408163,0.05149388993967151,0.1537629836489984,0.08917173680860277,0.030749143473293807,0.23064447551637232,1.0612495110618949e-05
slightly_more_benign,up,0.4081632653061224,0.05444096769140043,0.16073456472912853,0.09327149707250315,0.0341564217266679,0.24110184716771962,1.790408324872829e-05
slightly_more_benign,up,0.42857142857142855,0.05743660790313755,0.1676281340959098,0.09733293558941922,0.03770738343737775,0.2514422011724238,2.9316769800138285e-05
slightly_more_benign,up,0.44897959183673464,0.06048721484641707,0.17444937255501197,0.10135976391123909,0.04139629032314517,0.2616740588509873,4.6731223851882055e-05
slightly_more_benign,up,0.4693877551020408,0.06360082854759407,0.18120481465758959,0.10535631375315155,0.04521830494295686,0.27180722200590823,7.270727983810136e-05
slightly_more_benign,up,0.4897959183673469,0.06678764115887602,0.1879021308573965,0.10932773971933664,0.0491698374993001,0.2818531963018156,0.00011067972210852402
slightly_more_benign,up,0.5102040816326531,0.07006065372898194,0.1945504749387501,0.11328027085323303,0.05324896260635479,0.2918257124066534,0.00016520803975502847
slightly_more_benign,up,0.5306122448979591,0.07343653055680399,0.20116092573373812,0.11722153231212022,0.05745593483763368,0.3017413894937525,0.00024230280326438452
slightly_more_benign,up,0.5510204081632653,0.07693674039518815,0.2077470678269477,0.12116096957153459,0.06179384379291008,0.31162060203277075,0.0003498648028692643
slightly_more_benign,up,0.5714285714285714,0.08058914430249228,0.21432579637265448,0.1251104377754043,0.06626950176870397,0.321488694611601,0.0004982995411305328
slightly_more_benign,up,0.5918367346938775,0.08443027911683415,0.22091847023185726,0.12908504589242026,0.07089467597478494,0.33137770545052236,0.0007014092083848434
slightly_more_benign,up,0.6122448979591836,0.08850880669364969,0.2275526590479442,0.13310443528658364,0.0756879241275004,0.34132898841307135,0.0009777498776422186
slightly_more_benign,up,0.6326530612244897,0.09289098907064354,0.23426492603756602,0.137194814663872,0.08067747866629783,0.3513973892066725,0.0013528022381146282
slightly_more_benign,up,0.6530612244897959,0.09766990540131525,0.2411055276404798,0.1413923933128143,0.08590607202565335,0.3616582915592225,0.0018626533389990312
slightly_more_benign,up,0.673469387755102,0.10298217040067553,0.2481469673579435,0.14574962583415293,0.09143968024690907,0.3722204533651942,0.0025607200826327867
slightly_more_benign,up,0.6938775510204082,0.10904126772482665,0.2555010879675683,0.1503476811936961,0.0973849302258201,0.3832516351285692,0.0035312499382880356
slightly_more_benign,up,0.7142857142857142,0.11621367244791814,0.26335819243398056,0.15532496970962534,0.10392888220043599,0.39503728977209257,0.0049203588430472645
slightly_more_benign,up,0.7346938775510203,0.1252324205363517,0.27209695620249336,0.16095724872897396,0.11145056158863274,0.40814534758936527,0.0070237628538950166
slightly_more_benign,up,0.7551020408163265,0.1380841590389526,0.2827420202828057,0.16799104101600532,0.12098501135684435,0.4241130303084792,0.01065378824546349
slightly_more_benign,up,0.7755102040816326,0.17870440526886128,0.3075347910973432,0.1853198951252057,0.14475135764081404,0.4610657226880418,0.025994023841287597
slightly_more_benign,up,0.7959183673469387,0.6505184330370516,0.48837362851497146,0.3283381555595476,0.31514072119159636,0.7325604426426552,0.5431384933580078
slightly_more_benign,up,0.8163265306122448,0.6527027783953939,0.49071918260435143,0.329828009911553,0.31645749217369473,0.7360787739295088,0.5475351883138009
slightly_more_benign,up,0.836734693877551,0.6547878714341159,0.4930160973462837,0.33128197056894393,0.317733029060663,0.7395241460543568,0.5517358063233527
slightly_more_benign,up,0.8571428571428571,0.6567819909428464,0.4952676478165731,0.33270260224685533,0.3189702904292404,0.7429014717602686,0.555754798773607
slightly_more_benign,up,0.8775510204081632,0.658692420799436,0.4974767289273472,0.334092168796867,0.32017189117727013,0.7462150934031196,0.5596050149241356
slightly_more_benign,up,0.8979591836734693,0.6605256060461134,0.49964591457734764,0.3354526801583446,0.32134015608714217,0.7494688719048606,0.5632979430985626
slightly_more_benign,up,0.9183673469387754,0.6622872785823807,0.5017775053602714,0.336785930167154,0.32247716288986245,0.7526662580728429,0.5668439054438837
slightly_more_benign,up,0.9387755102040816,0.6639825603152426,0.503873567719145,0.33809352763011313,0.32358477773342964,0.7558103515977983,0.5702522191123244
slightly_more_benign,up,0.9591836734693877,0.6656160475842035,0.5059359660525515,0.3393769217480643,0.3246646841307255,0.7589039489790916,0.573531328401285
slightly_more_benign,up,0.9795918367346939,0.6671918819850217,0.507966389622179,0.34063742349654186,0.3257184074188341,0.7619495844533726,0.5766889169575975
slightly_more_benign,up,1.0,0.6687138079858914,0.5099663745692358,0.34187622294534736,0.32674733433245723,0.7649495618260139,0.5797319979659302
slightly_more_benign,down,1.0,0.6687138079429161,0.5099663745559435,0.34187622293001874,0.32674733430803915,0.7649495617567892,0.5797319978529384
slightly_more_benign,down,0.9795918367346939,0.6671918819997729,0.5079663896267672,0.3406374235017909,0.3257184074271286,0.761949584476424,0.5766889169960658
slightly_more_benign,down,0.9591836734693877,0.6656160476385168,0.5059359660695437,0.3393769217673599,0.3246646841610035,0.7589039490613646,0.573531328541759
slightly_more_benign,down,0.9387755102040817,0.6639825602550046,0.5038735677001925,0.3380935276087724,0.32358477770013166,0.7558103515094872,0.570252218957849
slightly_more_benign,down,0.9183673469387755,0.6622872785115006,0.5017775053378447,0.33678593014209796,0.3224771628510412,0.7526662579721491,0.5668439052636893
