branch,f_ras,C_star,A_star,T_star,R_star,L_star,M_star
up,0,-6.1724e-13,-7.16101e-12,-1.31973e-10,-1.31154e-15,-3.57599e-11,-1.48207e-32
up,0.0338983,0.00505996,0.0245947,0.19044,0.0015663,0.0409912,-3.32954e-15
up,0.0677966,0.0100741,0.0478481,0.373562,0.00598936,0.0797469,-1.24034e-11
up,0.101695,0.0150471,0.069881,0.550033,0.0128588,0.116468,1.35309e-09
up,0.135593,0.0199826,0.0907975,0.720423,0.0217791,0.151329,1.77928e-08
up,0.169492,0.0248837,0.110689,0.885226,0.0323797,0.184481,1.99818e-07
up,0.20339,0.0297536,0.129637,1.0449,0.0443239,0.216061,1.31457e-06
up,0.237288,0.0345978,0.147722,1.19991,0.0573174,0.246204,6.1966e-06
up,0.271186,0.0394289,0.165036,1.3509,0.0711225,0.27506,2.2885e-05
up,0.305085,0.0442741,0.181697,1.49881,0.0855811,0.302828,7.04835e-05
up,0.338983,0.0491898,0.197881,1.64527,0.100652,0.329801,0.000189681
up,0.372881,0.05429,0.213879,1.79326,0.116488,0.356464,0.000464255
up,0.40678,0.0598241,0.230246,1.94888,0.133637,0.383743,0.0010792
up,0.440678,0.0665115,0.248473,2.12918,0.153932,0.414122,0.00257187
up,0.474576,0.564189,0.693311,10.9891,0.628408,1.15552,0.785533
up,0.508475,0.56519,0.694203,11.0069,0.628653,1.15701,0.785628
up,0.542373,0.566186,0.695089,11.0246,0.628895,1.15848,0.785721
up,0.576271,0.567176,0.695968,11.0422,0.629134,1.15995,0.785814
up,0.610169,0.568162,0.69684,11.0597,0.629372,1.1614,0.785904
up,0.644068,0.569142,0.697705,11.0771,0.629607,1.16284,0.785993
up,0.677966,0.570118,0.698564,11.0944,0.629839,1.16427,0.786081
up,0.711864,0.571089,0.699416,11.1116,0.63007,1.16569,0.786168
up,0.745763,0.572055,0.700261,11.1287,0.630298,1.1671,0.786253
up,0.779661,0.573017,0.701101,11.1457,0.630524,1.1685,0.786336
up,0.813559,0.573973,0.701933,11.1626,0.630748,1.16989,0.786418
up,0.847458,0.574925,0.70276,11.1795,0.63097,1.17127,0.7865
up,0.881356,0.575872,0.703581,11.1962,0.63119,1.17263,0.786581
up,0.915254,0.576815,0.704395,11.2128,0.631408,1.17399,0.78666
up,0.949153,0.577753,0.705203,11.2294,0.631624,1.17534,0.786738
up,0.983051,0.578686,0.706006,11.2458,0.631838,1.17668,0.786814
up,1.01695,0.579615,0.706803,11.2622,0.63205,1.178,0.78689
up,1.05085,0.58054,0.707593,11.2785,0.63226,1.17932,0.786965
up,1.08475,0.58146,0.708379,11.2947,0.632468,1.18063,0.787038
up,1.11864,0.582376,0.709158,11.3108,0.632674,1.18193,0.787111
up,1.15254,0.583287,0.709932,11.3268,0.632878,1.18322,0.787182
up,1.18644,0.584195,0.710701,11.3428,0.633081,1.1845,0.787251
up,1.22034,0.585098,0.711464,11.3586,0.633282,1.18577,0.787322
up,1.25424,0.585996,0.712221,11.3744,0.633481,1.18704,0.78739
up,1.28814,0.586891,0.712974,11.3901,0.633678,1.18829,0.787458
up,1.32203,0.587781,0.713721,11.4057,0.633874,1.18953,0.787525
up,1.35593,0.588667,0.714463,11.4212,0.634068,1.19077,0.787591
up,1.38983,0.589549,0.715199,11.4367,0.63426,1.192,0.787656
up,1.42373,0.590428,0.715931,11.452,0.634451,1.19322,0.787721
up,1.45763,0.591302,0.716658,11.4673,0.63464,1.19443,0.787784
up,1.49153,0.592172,0.71738,11.4825,0.634827,1.19563,0.787846
up,1.52542,0.593038,0.718097,11.4977,0.635013,1.19683,0.787908
up,1.55932,0.5939,0.718809,11.5127,0.635197,1.19801,0.787968
up,1.59322,0.594758,0.719516,11.5277,0.63538,1.19919,0.788029
up,1.62712,0.595613,0.720219,11.5426,0.635561,1.20036,0.788088
up,1.66102,0.596463,0.720917,11.5574,0.635741,1.20153,0.788147
up,1.69492,0.59731,0.72161,11.5722,0.635919,1.20268,0.788205
up,1.72881,0.598153,0.722299,11.5869,0.636096,1.20383,0.788262
up,1.76271,0.598992,0.722983,11.6015,0.636271,1.20497,0.788318
up,1.79661,0.599828,0.723663,11.616,0.636445,1.20611,0.788374
up,1.83051,0.60066,0.724338,11.6305,0.636618,1.20723,0.788429
up,1.86441,0.601488,0.725009,11.6449,0.636789,1.20835,0.788484
up,1.89831,0.602313,0.725676,11.6592,0.636959,1.20946,0.788537
up,1.9322,0.603134,0.726339,11.6735,0.637127,1.21056,0.78859
up,1.9661,0.603951,0.726997,11.6877,0.637294,1.21166,0.788642
up,2,0.604765,0.727651,11.7018,0.63746,1.21275,0.788694
down,0,0.549611,0.680017,10.7282,0.624712,1.13336,0.784027
down,0.0338983,0.550689,0.681019,10.7476,0.624994,1.13503,0.784148
down,0.0677966,0.551761,0.682012,10.7669,0.625274,1.13669,0.784265
down,0.101695,0.552828,0.682998,10.786,0.62555,1.13833,0.784381
down,0.135593,0.553888,0.683974,10.805,0.625824,1.13996,0.784495
down,0.169492,0.554943,0.684943,10.824,0.626094,1.14157,0.784606
down,0.20339,0.555992,0.685904,10.8427,0.626362,1.14317,0.784716
down,0.237288,0.557036,0.686856,10.8614,0.626627,1.14476,0.784825
down,0.271186,0.558074,0.687801,10.88,0.626889,1.14633,0.784932
down,0.305085,0.559106,0.688738,10.8984,0.627149,1.1479,0.785036
down,0.338983,0.560134,0.689667,10.9168,0.627406,1.14945,0.785139
down,0.372881,0.561155,0.690589,10.935,0.62766,1.15098,0.78524
down,0.40678,0.562172,0.691503,10.9531,0.627912,1.15251,0.785339
down,0.440678,0.563183,0.692411,10.9712,0.628161,1.15402,0.785437
down,0.474576,0.564189,0.693311,10.9891,0.628408,1.15552,0.785534
down,0.508475,0.56519,0.694203,11.0069,0.628653,1.15701,0.785629
down,0.542373,0.566185,0.695089,11.0246,0.628895,1.15848,0.785722
down,0.576271,0.567176,0.695968,11.0422,0.629134,1.15995,0.785814
down,0.610169,0.568162,0.69684,11.0597,0.629372,1.1614,0.785905
down,0.644068,0.569142,0.697705,11.0771,0.629607,1.16284,0.785994
down,0.677966,0.570118,0.698564,11.0944,0.629839,1.16427,0.786081
down,0.711864,0.571089,0.699416,11.1116,0.63007,1.16569,0.786168
down,0.745763,0.572055,0.700261,11.1287,0.630298,1.1671,0.786253
down,0.779661,0.573016,0.701101,11.1457,0.630524,1.1685,0.786337
down,0.813559,0.573973,0.701933,11.1626,0.630748,1.16989,0.78642
down,0.847458,0.574925,0.70276,11.1795,0.63097,1.17127,0.786501
down,0.881356,0.575872,0.703581,11.1962,0.63119,1.17263,0.786581
down,0.915254,0.576815,0.704395,11.2128,0.631408,1.17399,0.78666
down,0.949153,0.577753,0.705203,11.2294,0.631624,1.17534,0.786738
down,0.983051,0.578686,0.706006,11.2458,0.631838,1.17668,0.786815
down,1.01695,0.579615,0.706803,11.2622,0.63205,1.178,0.78689
down,1.05085,0.58054,0.707593,11.2785,0.63226,1.17932,0.786965
down,1.08475,0.58146,0.708379,11.2947,0.632468,1.18063,0.787039
down,1.11864,0.582376,0.709158,11.3108,0.632674,1.18193,0.787112
down,1.15254,0.583287,0.709932,11.3268,0.632878,1.18322,0.787184
down,1.18644,0.584194,0.710701,11.3428,0.633081,1.1845,0.787255
down,1.22034,0.585097,0.711464,11.3586,0.633282,1.18577,0.787324
down,1.25424,0.585996,0.712221,11.3744,0.633481,1.18704,0.787392
down,1.28814,0.586891,0.712974,11.3901,0.633678,1.18829,0.78746
down,1.32203,0.587781,0.713721,11.4057,0.633874,1.18953,0.787526
down,1.35593,0.588667,0.714463,11.4212,0.634068,1.19077,0.787592
down,1.38983,0.589549,0.715199,11.4367,0.63426,1.192,0.787657
down,1.42373,0.590427,0.715931,11.452,0.634451,1.19322,0.787721
down,1.45763,0.591302,0.716658,11.4673,0.63464,1.19443,0.787784
down,1.49153,0.592172,0.71738,11.4825,0.634827,1.19563,0.787847
down,1.52542,0.593038,0.718097,11.4977,0.635013,1.19683,0.787909
down,1.55932,0.5939,0.718809,11.5127,0.635197,1.19801,0.787971
down,1.59322,0.594758,0.719516,11.5277,0.63538,1.19919,0.788031
down,1.62712,0.595613,0.720219,11.5426,0.635561,1.20036,0.788089
down,1.66102,0.596463,0.720917,11.5574,0.635741,1.20153,0.788148
down,1.69492,0.59731,0.72161,11.5722,0.635919,1.20268,0.788205
down,1.72881,0.598153,0.722299,11.5869,0.636096,1.20383,0.788263
down,1.76271,0.598992,0.722983,11.6015,0.636271,1.20497,0.788319
down,1.79661,0.599828,0.723663,11.616,0.636445,1.20611,0.788375
down,1.83051,0.60066,0.724338,11.6305,0.636618,1.20723,0.78843
down,1.86441,0.601488,0.725009,11.6449,0.636789,1.20835,0.788484
down,1.89831,0.602313,0.725676,11.6592,0.636959,1.20946,0.788538
down,1.9322,0.603134,0.726339,11.6735,0.637127,1.21056,0.788591
down,1.9661,0.603951,0.726997,11.6877,0.637294,1.21166,0.788643
down,2,0.604765,0.727651,11.7018,0.63746,1.21275,0.788694
