param,baseline_value,scale,scaled_value,C_base,M_base,C_lepr,M_lepr,delta_C_lepr,delta_M_lepr,C_mtor,M_mtor,delta_C_mtor,delta_M_mtor
eta_C,1.2,0.8,0.96,0.6518625482596551,0.5588283411423612,0.13070487756579946,0.0002966808470934485,0.5211576706938557,0.5585316602952678,0.15122574312968418,0.00867511634279504,0.5006368051299709,0.5501532247995662
eta_C,1.2,1.0,1.2,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
eta_C,1.2,1.2,1.44,0.6691799121793108,0.5681200297139586,0.14681158110954812,0.00040225371474695686,0.5223683310697627,0.5677177759992116,0.18530558204796924,0.015149042622034727,0.4838743301313416,0.5529709870919238
alpha_A,0.4,0.8,0.32000000000000006,0.6457128511250572,0.5278105556539744,0.12706519336433994,0.00010000180536957876,0.5186476577607172,0.5277105538486048,0.13267608935554526,0.0023123979457144394,0.513036761769512,0.5254981577082599
alpha_A,0.4,1.0,0.4,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
alpha_A,0.4,1.2,0.48,0.6711327292151935,0.5893668419216124,0.15257629555457797,0.000934708570604614,0.5185564336606155,0.5884321333510077,0.4556053386554381,0.1906146554898153,0.2155273905597554,0.3987521864317971
gamma_T,0.15,0.8,0.12,0.649418008029733,0.5408720243713737,0.1363783348370098,0.00030259422643320205,0.5130396731927233,0.5405694301449405,0.1576764591027104,0.0088264357901728,0.49174154892702265,0.5320455885812009
gamma_T,0.15,1.0,0.15,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
gamma_T,0.15,1.2,0.18,0.6700547154621,0.582044362358495,0.14048923497374916,0.00039114249146314273,0.529565480488351,0.5816532198670319,0.1771522890242674,0.014704964529482578,0.49290242643783266,0.5673393978290124
eta_R,0.6,0.8,0.48,0.6167570148050838,0.44862503471323084,0.13790344638540405,0.00017224796453927171,0.47885356841967974,0.44845278674869155,0.14833532935479934,0.004218864166202275,0.4684216854502845,0.4444061705470286
eta_R,0.6,1.0,0.6,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
eta_R,0.6,1.2,0.72,0.6782965968465642,0.6191998854477104,0.13901148567558883,0.000598147152470338,0.5392851111709753,0.6186017382952401,0.4866820535748903,0.2322918767920246,0.19161454327167388,0.38690800865568586
K_R,0.35,0.8,0.27999999999999997,0.6827230716702891,0.6342078867016292,0.14083916778916677,0.0013026613477939877,0.5418839038811223,0.6329052253538352,0.5269491227873927,0.2850930061041287,0.15577394888289642,0.3491148805975005
K_R,0.35,1.0,0.35,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
K_R,0.35,1.2,0.42,0.597480453603146,0.40670683409462594,0.13771577485227451,0.00010020257400325405,0.45976467875087146,0.4066066315206227,0.14332839581137094,0.0022662395883917908,0.45415205779177503,0.40444059450623415
p_R,2.5,0.8,2.0,0.6620457858277801,0.567675714346593,0.139463891181628,0.0007723021249457776,0.522581894646152,0.5669034122216473,0.3880495178444708,0.13605679938588566,0.2739962679833093,0.43161891496070737
p_R,2.5,1.0,2.5,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
p_R,2.5,1.2,3.0,0.6592275662998154,0.5592726088371466,0.13782566876401117,0.00014238667876092473,0.5214018975358042,0.5591302221583857,0.14645029776158047,0.0034814413064610476,0.5127772685382349,0.5557911675306856
delta_R,0.6,0.8,0.48,0.6810825943482249,0.6285943161815312,0.13921470322934984,0.0006763574917790947,0.5418678911188751,0.6279179586897521,0.504922924354214,0.25499930020660416,0.1761596699940109,0.373595015974927
delta_R,0.6,1.0,0.6,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
delta_R,0.6,1.2,0.72,0.6280104085620765,0.47529100225367893,0.13796440428222492,0.00019565476646558107,0.49004600427985157,0.4750953474872133,0.1501720516395441,0.004940085789113525,0.47783835692253235,0.4703509164645654
mu_L,0.9,0.8,0.7200000000000001,0.5846041491336141,0.3810732966848206,0.137861061370498,0.00015597446335631674,0.4467430877631161,0.3809173222214643,0.14707677442319494,0.0037262091386601145,0.4375273747104192,0.3773470875461605
mu_L,0.9,1.0,0.9,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
mu_L,0.9,1.2,1.08,0.6846933346195836,0.6410317728437939,0.13917345573610312,0.0006604804844039483,0.5455198788834805,0.6403712923593899,0.5199410619953183,0.2751781050911159,0.16475227262426528,0.36585366775267797
delta_L,0.6,0.8,0.48,0.6880830334102663,0.6529854313096218,0.1394468825598407,0.0007657518334765522,0.5486361508504256,0.6522196794761452,0.537127313644295,0.3000984396203902,0.15095571976597133,0.35288699168923165
delta_L,0.6,1.0,0.6,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
delta_L,0.6,1.2,0.72,0.6064954216342446,0.42575202533477424,0.1379239984411702,0.00018013929926617164,0.46857142319307443,0.42557188603550805,0.14888779890528359,0.004435519717991803,0.45760762272896105,0.42131650561678247
K_M,0.25,0.8,0.2,0.6880830334073601,0.6529854313012218,0.13944688252123863,0.0007657518261992837,0.5486361508861215,0.6522196794750225,0.5371273137724832,0.30009843979050227,0.15095571963487686,0.3528869915107195
K_M,0.25,1.0,0.25,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
K_M,0.25,1.2,0.3,0.6064954217871675,0.4257520256301443,0.13792399845930695,0.00018013930197997217,0.4685714233278606,0.42557188632816434,0.1488877992220164,0.004435519806156894,0.45760762256515114,0.4213165058239874
q_M,3.5,0.8,2.8000000000000003,0.6619972521773454,0.5675297341629483,0.14322712669031085,0.0022269461181451287,0.5187701254870345,0.5653027880448032,0.42747259681653715,0.16991739153047652,0.23452465536080824,0.39761234263247175
q_M,3.5,1.0,3.5,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
q_M,3.5,1.2,4.2,0.6592485891913791,0.5593347430964093,0.1376005367295558,5.59766216809289e-05,0.5216480524618232,0.5592787664747284,0.1455517256103242,0.003130898344999768,0.5136968635810548,0.5562038447514095
rho_C,0.1512553110692525,0.8,0.12100424885540201,0.6571135924135457,0.5617191274211119,0.11499772220846292,0.00021596462619353658,0.5421158702050828,0.5615031627949183,0.1301821436150421,0.005882216909721938,0.5269314487985036,0.55583691051139
rho_C,0.1512553110692525,1.0,0.1512553110692525,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
rho_C,0.1512553110692525,1.2,0.18150637328310298,0.6641883813425273,0.5655122564897571,0.16080373646051352,0.0005157510760210771,0.5033846448820138,0.564996505413736,0.21108498047248356,0.02192607487212711,0.45310340087004375,0.54358618161763
eta_C_M,3.146457420700909,0.8,2.5171659365607275,0.6058776103121136,0.530520469545971,0.13816838280373897,0.0003424988541843343,0.4677092275083746,0.5301779706917866,0.1571055296143456,0.009608938995096138,0.448772080697768,0.5209115305508748
eta_C_M,3.146457420700909,1.0,3.146457420700909,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
eta_C_M,3.146457420700909,1.2,3.7757489048410906,0.700711744273776,0.5833681499689751,0.13853227300621576,0.00034486600139743413,0.5621794712675603,0.5830232839675777,0.4272144115437288,0.14139025855745957,0.2734973327300472,0.44197789141151556
K_C,0.43737072822837375,0.8,0.349896582582699,0.6868230321006681,0.5769036538755004,0.19950983078032594,0.000958504829828154,0.48731320132034217,0.5759451490456722,0.5034046147476343,0.19316454641015265,0.18341841735303377,0.3837391074653477
K_C,0.43737072822837375,1.0,0.43737072822837375,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
K_C,0.43737072822837375,1.2,0.5248448738740484,0.6423808093943495,0.5534403053316947,0.12135263223827936,0.00024620715312663986,0.5210281771560701,0.5531940981785681,0.13628762120390395,0.006608970150122973,0.5060931881904456,0.5468313351815718
n_C,3.6094813761976314,0.8,2.8875851009581055,0.666705011378762,0.5668340177854836,0.17437218688391803,0.0006478360628355848,0.492332824494844,0.566186181722648,0.35020315697196136,0.08931315285508468,0.3165018544068007,0.4775208649303989
n_C,3.6094813761976314,1.0,3.6094813761976314,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
n_C,3.6094813761976314,1.2,4.331377651437157,0.6547951423367127,0.5604508194744452,0.12127017814207718,0.0002457944692423242,0.5335249641946355,0.5602050250052029,0.13676757206114312,0.006668896945780637,0.5180275702755696,0.5537819225286645
delta_C,1.1517761452743787,0.8,0.921420916219503,0.7198211537331104,0.5916635565714359,0.17909319769956725,0.0006993472489756948,0.5407279560335432,0.5909642093224602,0.5358649879241765,0.21367169593898275,0.18395616580893392,0.37799186063245316
delta_C,1.1517761452743787,1.0,1.1517761452743787,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
delta_C,1.1517761452743787,1.2,1.3821313743292543,0.6025267197593493,0.528231086084549,0.11311273953422539,0.0002075848412149204,0.48941398022512395,0.5280235012433341,0.12384638381094752,0.005194623132416465,0.4786803359484018,0.5230364629521326
beta_A,1.3064277678539746,0.8,1.0451422142831797,0.6124729741316759,0.45473565785703457,0.13256487792611774,0.0001962800441953913,0.4799080962055582,0.45453937781283915,0.14386976925159947,0.004801040647382499,0.46860320488007645,0.44993461720965205
beta_A,1.3064277678539746,1.0,1.3064277678539746,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
beta_A,1.3064277678539746,1.2,1.5677133214247696,0.6820099777817532,0.6164604085360962,0.14548386187005535,0.0005975898941925422,0.5365261159116979,0.6158628186419036,0.504184726729841,0.24146064279069784,0.17782525105191216,0.37499976574539834
delta_A,1.223844822379918,0.8,0.9790758579039345,0.6916757981248678,0.6402581816060832,0.17028625029886935,0.002166812339258543,0.5213895478259984,0.6380913692668246,0.553348401808006,0.3010823823652651,0.13832739631686175,0.3391757992408181
delta_A,1.223844822379918,1.0,1.223844822379918,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
delta_A,1.223844822379918,1.2,1.4686137868559017,0.591157847901745,0.41279526832241,0.1250379157598947,7.418866768929799e-05,0.46611993214185027,0.41272107965472066,0.1288676957110133,0.0016326299276206817,0.46229015219073166,0.4111626383947893
alpha_T,0.8887057965314086,0.8,0.7109646372251269,0.5516774997947067,0.35835857288173284,0.11949165856554257,5.683045093031179e-05,0.43218584122916415,0.35830174243080254,0.12226224062576184,0.0012246415304791097,0.42941525916894485,0.3571339313512537
alpha_T,0.8887057965314086,1.0,0.8887057965314086,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
alpha_T,0.8887057965314086,1.2,1.0664469558376903,0.6928080679764198,0.6229300025293736,0.17973158029286918,0.001787920953291044,0.5130764876835506,0.6211420815760825,0.5486156322962914,0.2760760181158602,0.1441924356801284,0.3468539844135134
delta_T,1.6190571533208609,0.8,1.2952457226566887,0.7037679594503318,0.6397987780963005,0.20705600540529015,0.0033593162921053007,0.49671195404504165,0.6364394618041952,0.5813249366407196,0.3088964453683604,0.12244302280961217,0.33090233272794006
delta_T,1.6190571533208609,1.0,1.6190571533208609,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
delta_T,1.6190571533208609,1.2,1.942868583985033,0.5520824780296373,0.3590078142568748,0.12093309278371313,7.02540828253481e-05,0.43114938524592417,0.35893756017404943,0.12440734594378866,0.0015318466776357462,0.4276751320858486,0.35747596757923905
eta_M,1.3170379849606464,0.8,1.0536303879685172,0.6353655738782371,0.4936852971248191,0.1381684323348268,0.0002740181107971091,0.4971971415434103,0.493411279014022,0.15716104452289725,0.007709306347187465,0.47820452935533986,0.48597599077763165
eta_M,1.3170379849606464,1.0,1.3170379849606464,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
eta_M,1.3170379849606464,1.2,1.5804455819527756,0.6774030225104922,0.6162231891117309,0.13853219727150368,0.00041381007586375806,0.5388708252389885,0.6158093790358672,0.29772267712644934,0.07365357459898529,0.3796803453840429,0.5425696145127457
delta_M,0.4772004066350102,0.8,0.3817603253080082,0.6807337670900783,0.6274085414118731,0.1385779986870085,0.0004314181950189558,0.5421557684030698,0.6269771232168542,0.4348333686372687,0.17684941320026962,0.2459003984528096,0.4505591282116035
delta_M,0.4772004066350102,1.0,0.4772004066350102,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
delta_M,0.4772004066350102,1.2,0.5726404879620122,0.6404748785762445,0.5069419848363674,0.13819856793544896,0.0002855952513949152,0.5022763106407956,0.5066563895849725,0.1583840104976784,0.0081980082490347,0.48209086807856616,0.4987439765873327
